Field Site,Latitude,Longitude ,Field Site Type,Registration,Mean Annual Precipitation,Average Annual Temperature,Geology,Land Cover,Climate,Sub-Climate,Network(s),Soil Order,Study Start Date,Hydrology: Surface water stream order,Hydrology: Surface water - Stream Flow Performance,Hydrology: Groundwater
"Cataloochee Creek, NC",35.667222,-83.072778,US affiliate,Unregistered,1890 millimeters / year,11°C,"sandstone, metasediments",Deciduous Forest,Temperate,Humid,TBD,Inceptisol,1962 to 1995,,Perennial,
Cedar Creek Ecosystem Science Reserve,45.401,-93.201,US affiliate,Unregistered,801 millimeters / year,7°C,other sedimentary,"Mixed Forest, Grassland/Herbaceous",Temperate,Humid,"LTER, LTSE","Alfisol, Entisol, Histosol, Mollisol",1982,,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Central Arizona - Phoenix LTER,33.427,-111.933,US affiliate,Unregistered,250 millimeters / year,23°C,"other sedimentary, igneous-felsic intrusive","Developed- High, Barren Land, Agriculture- Crops",Mediterranean,Arid,"LTER, LTSE","Aridisol, Entisol",1997,Fifth Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Central Plains Experimental Range,40.815534,-104.745602,TBD,Unregistered,325 millimeters / year,9°C,other sedimentary,"Shrubland, Grassland/Herbaceous, Agriculture- Pasture",Temperate,Semiarid,"ARS, LTER, NEON","Aridisol, Entisol, Mollisol",1937,Second Order,Perennial,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Challenge Experimental Forest,39.375,-123.66666,US affiliate,Unregistered,1727 millimeters / year,,,"Evergreen Forest, Mixed Forest",Mediterranean,Humid,USFS,Ultisol,1958,,,
Changshu AgroEcological Experiment Station,31.548889,120.698056,International affiliate,Unregistered,,,,Unknown,,,CERN,,1987,,,
Chenqi CZO,26.263783,105.771936,International CZO,Registered,1300 millimeters / year,14°C,carbonate,"Deciduous Forest, Shrubland, Grassland/Herbaceous, Agriculture- Crops",Tropical,Humid,CERN,Unknown,2016,,,
Christina River Basin,39.720168,-75.52176,NSF funded CZO,Registered,1153 millimeters / year,12°C,"unconsolidated materials, metasediments, other metamorphic","Developed- Low, Deciduous Forest, Agriculture- Crops",Temperate,Humid,Independent,"Alfisol, Entisol, Histosol, Inceptisol, Ultisol",2015,Third Order,Perennial,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Chronic Nitrogen Amendment Experiment,42.54,-72.18,US affiliate,Unregistered,1000 millimeters / year,12°C,igneous-felsic intrusive,"Mixed Forest, Herbaceous Wetlands",Temperate,Humid,LTSE,Inceptisol,1988 to 2011,,Perennial,
Clear Creek Observatory,41.726667,-91.773333,US affiliate,Unregistered,889 millimeters / year,9°C,unconsolidated materials,"Agriculture- Pasture, Agriculture- Crops",Temperate,Humid,"CUAHSI, CZO, SoilTrEC Affiliate","Alfisol, Entisol, Inceptisol, Mollisol",,Fourth Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Coram Experimental Forest,48.383333,-113.983333,US affiliate,Unregistered,851 millimeters / year,5°C,"shale, sandstone, other sedimentary, metasediments",Evergreen Forest,Temperate,Humid,USFS,Unknown,1933,First Order,Perennial,
Cordillera del Balsamo,-0.5999,-80.42,TBD,Unregistered,500 millimeters / year,25°C,"unconsolidated materials, shale, igneous-felsic intrusive","Deciduous Forest, Mixed Forest, Shrubland",Tropical,Dry,TBD,Unknown,2013,"First Order, Second Order",Ephemeral,
Coweeta LTER,35,-83.5,US affiliate,Unregistered,1906 millimeters / year,13°C,"igneous-felsic intrusive, other metamorphic","Deciduous Forest, Mixed Forest",Temperate,Hyperhumid,"LTER, LTSE","Inceptisol, Ultisol",1934,Third Order,Perennial,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Crossett Experimental Forest,33.033333,-91.95,US affiliate,Unregistered,1410 millimeters / year,18°C,,Mixed Forest,Temperate,Humid,USFS,"Alfisol, Entisol",1934,,,
Cumberland Plain,-33.615,150.724,International affiliate,Unregistered,903 millimeters / year,18°C,,Woody Wetlands,,,TERN,Unknown,2016,,,
Cutfoot Sioux Experimental Forest,47.666667,-94.083333,US affiliate,Unregistered,570 millimeters / year,,other sedimentary,Evergreen Forest,Temperate,Humid,USFS,Unknown,1932,,,
"Cypress Creek, MS",31.025,-89.016667,US affiliate,Unregistered,1520 millimeters / year,18°C,unconsolidated materials,Mixed Forest,Temperate,Humid,TBD,Ultisol,1966 to 1995,Fourth Order,Perennial,
Damma Glacier Forefield CZO,46.6825,8.461283,International CZO,Registered,2300 millimeters / year,2°C,"unconsolidated materials, igneous-felsic intrusive","Perennial Ice/Snow, Barren Land, Unknown",,,SoilTrEC,Unknown,,,,
Dead Lake,32.540165,-87.803564,US affiliate,Unregistered,,,,Woody Wetlands,,,NEON,,2018,,,
Deception Creek Experimental Forest ,45.166667,-116.5,US affiliate,Unregistered,1400 millimeters / year,,metasediments,Evergreen Forest,Temperate,Humid,USFS,Inceptisol,1933,,Perennial,
Delta Junction,63.88112,-145.75136,US affiliate,Unregistered,1430 millimeters / year,-2°C,unconsolidated materials,"Mixed Forest, Agriculture- Crops",Boreal,Dry,NEON,Inceptisol,2016,First Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Desert Experimental Range,38.6004,-113.7465,US affiliate,Unregistered,165 millimeters / year,,"carbonate, metasediments",Shrubland,Mediterranean,Semiarid,USFS,"Aridisol, Entisol",1933,,,
Disney Wilderness Perserve,28.125,-81.436,US affiliate,Unregistered,1295 millimeters / year,73°C,"unconsolidated materials, carbonate","Grassland/Herbaceous, Woody Wetlands",Tropical,Subhumid,NEON,Spodosol,2014,,,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Draix-Bleone Observatory,44.140285,6.359488,International affiliate,Unregistered,950 millimeters / year,10°C,shale,Barren Land,Mediterranean,,"OZCAR, RBV",Unknown,2002,,,
Dry Creek Experimental Watershed,43.75877,-116.0904,US affiliate,Unregistered,,,igneous-felsic intrusive,"Evergreen Forest, Shrubland, Grassland/Herbaceous",Mediterranean,Subhumid,CUAHSI,"Aridisol, Mollisol",1998,Third Order,Perennial,
Dryadbreen and Fardalen (Svalbard),78.117,15.433,International affiliate,Unregistered,200 millimeters / year,-7°C,shale,"Perennial Ice/Snow, Barren Land",Polar,,Independent,Gelisol,2012,,,
Duke Forest FACE Experiment,35.96666667,79.08333333,US affiliate,Unregistered,1000 millimeters / year,19°C,igneous-felsic intrusive,Evergreen Forest,Temperate,Humid,LTSE,Unknown,1996,,,
Dukes (Upper Peninsula) Experimental Forest ,46.35,-87.166667,US affiliate,Unregistered,860 millimeters / year,5°C,other sedimentary,Deciduous Forest,Temperate,Humid,USFS,"Histosol, Inceptisol, Spodosol",1926,,,
East River Watershed Function SFA,38.901113,-106.983117,US affiliate,Unregistered,600 millimeters / year,0°C,"shale, other sedimentary, other igneous","Mixed Forest, Grassland/Herbaceous",,,DOE,Unknown,2017,,Perennial,
Eastern Corn Belt,40.805056,-81.935143,US affiliate,Registered,1020 millimeters / year,11°C,"shale, sandstone, other sedimentary","Developed- Low, Deciduous Forest, Agriculture- Crops",Temperate,Humid,"ARS, LTSE",Alfisol,1962,,,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Eel River CZO,39.729553,-123.644065,NSF funded CZO,Registered,2160 millimeters / year,11°C,"sandstone, other sedimentary, other metamorphic","Developed- High, Mixed Forest, Grassland/Herbaceous, Agriculture- Crops",Mediterranean,Hyperhumid,CZO,"Inceptisol, Ultisol",2015,Third Order,Perennial,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Ellebach River CZO,50.869444,6.451111,International CZO,Registered,705 millimeters / year,10°C,unconsolidated materials,"Grassland/Herbaceous, Agriculture- Crops",,,TERENO,Alfisol,2006,,Perennial,
Entiat Experimental Forest,47.95,-120.466667,US affiliate,Unregistered,580 millimeters / year,,igneous-felsic intrusive,"Barren Land, Evergreen Forest",Mediterranean,Dry,USFS,Entisol,1957,,Perennial,
Erkensruhr CZO,50.834817,6.477337,International CZO,Registered,1080 millimeters / year,7°C,shale,Deciduous Forest,,,TERENO,Alfisol,2007,,,
Escambia Experimental Forest,31.00963,-87.07663,US affiliate,Unregistered,1520 millimeters / year,,"carbonate, other sedimentary",Evergreen Forest,Temperate,Humid,USFS,Ultisol,1947,,,
Estate Thomas Experimental Forest ,17.741667,-64.517778,TBD,Unregistered,110 millimeters / year,27°C,carbonate,Agriculture- Crops,Tropical,Dry,USFS,Mollisol,1930,,,
Fengqiu Agricultural Ecological Station,35,114.4,International affiliate,Unregistered,,,,Agriculture- Crops,,,CERN,,1983,,,
Finse Alpine Research Center,60.59348,7.524605,International affiliate,Registered,,,,"Perennial Ice/Snow, Herbaceous Wetlands",Boreal,Humid,"CZO Affiliate, Independent, TBD",,1971,"First Order, Second Order, Third Order",Perennial,
Florida Coastal Everglades LTER,25.468206,-80.853276,US affiliate,Unregistered,940 millimeters / year,24°C,"shale, carbonate","Woody Wetlands, Open Water",Tropical,Subhumid,LTER,"Histosol, Inceptisol",1980,,Perennial,Arrangment of Aquifer Components  - Two interconnected aquifers
FNQ Rainforest- Daintree,-16.104,145.449,International affiliate,Unregistered,5143 millimeters / year,24°C,,Unknown,,,TERN,,2016,,,
FNQ Rainforest- Robson Creek,17.121,145.634,International affiliate,Unregistered,1671 millimeters / year,19°C,,Unknown,,,TERN,,2009,,,
Fort Valley Experimental Forest ,35.268333,-111.740278,US affiliate,Unregistered,574 millimeters / year,7°C,igneous-felsic extrusive,Evergreen Forest,Temperate,Subhumid,USFS,Mollisol,1931,,,
Fraser Experimental Forest,39.89267,-105.89171,US affiliate,Unregistered,737 millimeters / year,1°C,"sandstone, other sedimentary, igneous-felsic intrusive","Perennial Ice/Snow, Evergreen Forest",Temperate,Subhumid,"NEON, USFS",Inceptisol,1937,Second Order,Ephemeral,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Fuchsenbigl-Marchfeld CZO,48.50213,16.654389,International affiliate,Unregistered,531 millimeters / year,9°C,unconsolidated materials,"Grassland/Herbaceous, Agriculture- Crops",,,SoilTrEC,Unknown,2016,,Ephemeral,
Fuerstensee CZO,53.329,13.192889,Interntaional CZO,Unregistered,584 millimeters / year,8°C,unconsolidated materials,Deciduous Forest,,,TERENO,Inceptisol,2011,,,
Georgia Coastal Ecosystems LTER,31.427,-81.371,US affiliate,Unregistered,1050 millimeters / year,20°C,unconsolidated materials,Woody Wetlands,Tropical,Subhumid,"LTER, LTSE","Entisol, Histosol, Ultisol",2000,Sixth Order,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
GIS ORACLE,48.980818,3.669434,International affiliate,Unregistered,674 millimeters / year,11°C,carbonate,Agriculture- Crops,Mediterranean,,"OZCAR, RBV",,1962,,Perennial,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Glacier Lakes Ecosystem Experiments Site ,41.375,-106.258333,US affiliate,Unregistered,1950 millimeters / year,,"unconsolidated materials, metasediments","Perennial Ice/Snow, Barren Land, Agriculture- Pasture",Temperate,Humid,USFS,"Alfisol, Inceptisol",1950,,,
Goodwater Creek Experimental Watershed,38.940381,-92.327738,US affiliate,Unregistered,1000 millimeters / year,12°C,unconsolidated materials,"Grassland/Herbaceous, Agriculture- Pasture, Agriculture- Crops",Temperate,Humid,ARS,Alfisol,1971,Third Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
"Grassland, Soil and Water Research Laboratory",31.098234,-97.342782,US affiliate,Unregistered,800 millimeters / year,17°C,"shale, other sedimentary","Agriculture- Pasture, Agriculture- Crops",Temperate,Subhumid,"ARS, LTAR",Vertisol,1937,,,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
"Great Smoky Mountains National Park, Twin Creeks",35.686508,-83.506607,US affiliate,Unregistered,2200 millimeters / year,,,Deciduous Forest,,,NEON,,2018,,,
Great Western Woodlands ,-30.662794,121.402763,US affiliate,Unregistered,280 millimeters / year,,other igneous,"Barren Land, Shrubland, Agriculture- Pasture",Mediterranean,Semiarid,TERN,Unknown,2011,,,
Grimsö  Research Station,59.72868,15.47249,TBD,Unregistered,670 millimeters / year,,,"Evergreen Forest, Agriculture- Pasture, Woody Wetlands, Open Water",Boreal,,SITES,,1974,,,
ObsErA — Capesterre,16.04375,-61.663606,International,Unregistered,1779 millimeters / year,24°C,igneous-mafic extrusive,"Deciduous Forest, Woody Wetlands",Tropical,,"CRITEX, RBV",,,,Perennial,
Guánica Forest,17.96955,-66.8687,US affiliate,Unregistered,860 millimeters / year,26°C,carbonate,"Deciduous Forest, Evergreen Forest, Shrubland",Tropical,Dry,NEON,"Aridisol, Inceptisol, Vertisol",1980,Third Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Hailun Agricultural Ecological Station,47.433333,126.633333,International affiliate,Unregistered,,,,Unknown,,,CERN,Mollisol,2017,,,
Hainich CZO,51.113781,10.430617,International CZO,Registered,900 millimeters / year,8°C,carbonate,"Deciduous Forest, Agriculture- Crops",,,TBD,Unknown,2010,,,
Hakai Critical Zone Observatory,53.414852,-130.177002,International affiliate,Registered,3745 millimeters / year,8°C,igneous-felsic intrusive,"Barren Land, Evergreen Forest, Shrubland, Woody Wetlands, Herbaceous Wetlands, Open Water",Temperate,Hyperhumid,Independent,"Entisol, Histosol, Inceptisol, Spodosol",2012,Third Order,Perennial,
Harrison Experimental Forest,30.633333,-89.05,US affiliate,Unregistered,1651 millimeters / year,,other sedimentary,Evergreen Forest,Temperate,Humid,USFS,"Oxisol, Ultisol",1989,,,
Harvard Forest LTER,42.537,-72.173,US affiliate,Registered,1066 millimeters / year,7°C,other metamorphic,"Deciduous Forest, Herbaceous Wetlands",Temperate,Humid,"LTER, LTSE, NEON",Inceptisol,1907,,Perennial,
Healy ,63.848203,-149.053967,US affiliate,Unregistered,,,,,,,NEON,Gelisol,2018,,,
Héen Latinee Experimental Forest ,58.381141,-134.645522,US affiliate,Unregistered,2900 millimeters / year,,igneous-felsic intrusive,Evergreen Forest,,,USFS,"Entisol, Histosol, Inceptisol, Spodosol",2009,,,
Hitchiti Experimental Forest,33.0571,-83.6796,TBD,Unregistered,1250 millimeters / year,,,Evergreen Forest,,,USFS,Ultisol,1946,,,
Hubbard Brook Experimental Forest ,43.94,-71.751,US affiliate,Unregistered,1396 millimeters / year,6°C,"igneous-felsic intrusive, other igneous, metasediments","Deciduous Forest, Mixed Forest",Temperate,Humid,"LTER, LTSE, USFS","Inceptisol, Spodosol",1955,Fifth Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
Huehnerwasser / Chicken Creek Catchment,51.6,14.266667,TBD,Registered,563 millimeters / year,,unconsolidated materials,"Deciduous Forest, Agriculture- Crops",,,Independent,Entisol,2005,,,
Hyderabad Observatory,17.17,78.44,International CZO,Unregistered,,,"igneous-felsic intrusive, metasediments","Developed- High, Agriculture- Crops",,,"CRITEX, H+",,2003,,,
"IML CZO, IA",41.726893,-91.773386,NSF funded CZO,Registered,889 millimeters / year,9°C,"unconsolidated materials, other sedimentary","Developed- Low, Shrubland, Grassland/Herbaceous, Agriculture- Crops",Temperate,Humid,CZO,"Alfisol, Entisol, Inceptisol, Mollisol",2015,Fourth Order,Perennial,"Arrangment of Aquifer Components  - Single, dominant unconfined aquifer"
"IML CZO, IL",40.00666,-88.632056,NSF funded CZO,Registered,1000 millimeters / year,11°C,unconsolidated materials,"Developed- Low, Shrubland, Grassland/Herbaceous, Agriculture- Crops",Temperate,Humid,CZO,"Alfisol, Entisol, Inceptisol, Mollisol",2015,Fourth Order,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
"IML CZO, MN",44.169406,-94.002801,NSF funded CZO,Registered,747 millimeters / year,5°C,unconsolidated materials,"Developed- Low, Shrubland, Grassland/Herbaceous, Agriculture- Crops",Temperate,Humid,CZO,"Alfisol, Entisol, Inceptisol, Mollisol",2015,Sixth Order,Perennial,Arrangment of Aquifer Components  - Two interconnected aquifers
Iznik Basin,40.425345,29.542236,TBD,Registered,,,"unconsolidated materials, shale, sandstone, carbonate, other metamorphic","Mixed Forest, Agriculture- Crops, Open Water",Mediterranean,Subhumid,TBD,Unknown,2014 to 2019,"First Order, Second Order","Perennial, Intermittent, Ephemeral","Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
J. Phil Campbell Sr. Natural Resource Conservation Center,33.9,-83.4,US affiliate,Unregistered,1247 millimeters / year,,other metamorphic,"Grassland/Herbaceous, Agriculture- Pasture, Agriculture- Crops",,,Independent,Ultisol,1937,,,
Jones Ecological Research Center,31.196807,-84.466929,TBD,Unregistered,,,carbonate,"Evergreen Forest, Grassland/Herbaceous, Woody Wetlands",,,NEON,,2018,,,
Jornada Experimental Range,32.614508,-106.741791,TBD,Unregistered,240 millimeters / year,17°C,"carbonate, other sedimentary","Shrubland, Agriculture- Pasture",Temperate,Semiarid,"ARS, LTAR, LTER, NEON","Aridisol, Mollisol",1912,,,Arrangment of Aquifer Components  - Complexly interbedded sequence of aquifers and confining beds
Kall CZO,50.623611,6.304444,International CZO,Unregistered,1200 millimeters / year,7°C,shale,"Grassland/Herbaceous, Agriculture- Pasture",,,TERENO,Alfisol,2007,,,
Kane Experimental Forest,41.597778,-78.766111,TBD,Unregistered,1100 millimeters / year,6°C,"shale, sandstone",Deciduous Forest,,,USFS,Inceptisol,1932,,,
Kaskaskia Experimental Forest,37.533333,-88.35,TBD,Unregistered,1098 millimeters / year,13°C,carbonate,Deciduous Forest,,,USFS,Alfisol,1942,,,
Kellogg Biological Station,42.404936,-85.399453,US affiliate,Unregistered,890 millimeters / year,9°C,"unconsolidated materials, other sedimentary","Deciduous Forest, Agriculture- Crops",Temperate,Humid,"LTER, LTSE","Alfisol, Entisol, Mollisol",1980,Third Order,Perennial,"Arrangment of Aquifer Components  - Three unit system of an unconfined aquifer, confined aquifer and a confining bed"
Klemme Range Research Station,35.41059,-99.05879,US affiliate,Registered,780 millimeters / year,15°C,"igneous-felsic intrusive, metasediments","Grassland/Herbaceous, Agriculture- Pasture",Temperate,Subhumid,NEON,,1988,,,
Koen Experimental Forest,36.033333,-93.166667,US affiliate,Unregistered,1143 millimeters / year,15°C,other sedimentary,Deciduous Forest,,,USFS,"Alfisol, Mollisol",1951,,,
