Gender,USCitizen,English,POE,ID,BooksReadSummer,ReadProgHS,PartReadProgHS,OwnBookSummer,PercentReadSummer,WhyNotRead,FamilyRead,SummerSurvey,QuizScore,FirstGen,PercentReadSummerFollowup,PercentReadSemester,Reread,CWSRead,CWSWrite,Think,Challenge,EnjoyBook,EventAdd,CourseList,FollowupSurvey,Book,Year,ReadSummer,ReadFollowup,ReadSemester,AttendEvent,Englsh,FamilyMemberWhoRead,CourseEffect,ConversationsCount,ConverstationsWith,ConversationsFamily,ConversationNumberPeople,ConversationTopic,BookOwn,BookLength,BookDifficulty,KnowSummerRead,WhichOrientation,FamilyMemberRead
Male,Yes,Yes,Biology,1044612,0,No,No,No,0,,No,Yes,,No,0,50,Yes,Some of the chapters in the book,Response/Reflection paper,2,2,1,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,Math,1062037,0,No,No,No,0,I was too busy to finish,No,Yes,0.75,No,0,0,No,The book wasn't assigned,None,3,3,3,3,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Biology,1052349,7,Yes,Yes,Yes,0,"I was too busy to finish	, I wasn’t interested in the topic",No,Yes,0.5,Yes,0,10,No,The book wasn't assigned,None,3,3,3,3,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,business,1085452,3,No,Yes,No,0,,No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,3,3,3,3,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,BAC,1035803,5,No,No,No,0,I was too busy to finish,No,Yes,0.5,Yes,0,0,No,The book wasn't assigned,None,,,,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Biology,1057302,3,Yes,Yes,No,0,I don’t like reading,No,Yes,0,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Biology,1052853,2,No,Yes,Yes,0,"I was too busy to finish	, I lost interest/thought the book was boring, I wasn’t interested in the topic",No,Yes,0.5,No,10,15,,The book wasn't assigned,None,3,4,5,4,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,No,No,Communication,1064484,2,Yes,Yes,No,0,I was too busy to finish,No,Yes,0,No,0,5,No,Some of the chapters in the book,Response/Reflection paper,2,2,3,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,Business/ Environmental Science,1076799,0,No,No,No,0,I was too busy to finish,No,Yes,0,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,Biology,1041386,2,No,No,No,0,,No,Yes,0.75,No,0,0,No,The book wasn't assigned,None,5,5,5,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Psychology,1045117,1,No,Yes,No,0,,Yes,Yes,0.25,Yes,0,0,No,Some of the chapters in the book,Formal Essay for CWS,3,3,5,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,geology,1049580,2,No,No,No,0,I was too busy to finish,No,Yes,,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,psychology,1062768,0,Yes,Yes,Yes,0,,No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,No,Yes,Physics,1076922,3,No,No,No,0,I wasn’t interested in the topic,No,Yes,,Yes,0,0,No,The book wasn't assigned,None,5,5,5,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,Biology,820834,2,No,No,Yes,0,I was too busy to finish,No,Yes,0.75,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,international studies,1038584,2,Yes,Yes,Yes,0,"I was too busy to finish	, I lost interest/thought the book was boring, I wasn’t interested in the topic",,Yes,0.75,Yes,0,0,No,The book wasn't assigned,"Formal Essay for CWS, Formal Essay for another class, Free write in class, Response/Reflection paper, Blog post",,,,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Physics,1038535,10,Yes,Yes,Yes,0,"I was too busy to finish	, I lost interest/thought the book was boring, I wasn’t interested in the topic",No,Yes,0.75,No,0,0,No,The book wasn't assigned,None,5,5,5,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Biology,1057914,3,No,No,No,0,,No,Yes,,Yes,0,0,No,The book wasn't assigned,None,3,3,3,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Psychology,927069,0,No,No,No,0,I was too busy to finish,No,Yes,,Yes,0,0,No,The book wasn't assigned,None,3,3,3,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Education,1067652,20,Yes,Yes,No,0,,No,Yes,0.5,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Communications,1076234,2,Yes,Yes,Yes,0,"I was too busy to finish	, I lost interest/thought the book was boring, I wasn’t interested in the topic",No,Yes,0.25,No,0,5,No,Some of the chapters in the book,Response/Reflection paper,2,2,5,5,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Psychology,1053493,3,Yes,Yes,No,0,I wasn’t interested in the topic,No,Yes,0.25,Yes,0,0,No,The book wasn't assigned,None,5,5,5,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,science,1076172,0,Yes,Yes,No,0,I wasn’t interested in the topic,No,Yes,0.5,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Art,1053890,1,Yes,No,No,0,I wasn’t interested in the topic,No,Yes,0.5,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,english,1043224,1,Yes,Yes,Yes,0,"I was too busy to finish	, I didn’t see the point of the assignment",No,Yes,0.75,No,1,0,No,The book wasn't assigned,None,5,5,3,5,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,Sociology,1045941,0,No,No,No,0,"I was too busy to finish	, I don’t like reading, I didn’t see the point of the assignment, I lost interest/thought the book was boring, I wasn’t interested in the topic",No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,,,,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,No,No,Business,1042479,3,No,Yes,No,0,,No,Yes,0.5,Yes,70,90,Yes,Some of the chapters in the book,Formal Essay for another class,3,3,2,3,,Yes,Warriors,2013,No,No,Yes,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Computer science,106962,0,No,No,No,0,,No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,Biology,1062855,1,Yes,Yes,Yes,0,I was too busy to finish,No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,No,No,Psychology,1076349,3,Yes,No,No,0,I didn’t see the point of the assignment,No,Yes,0.75,No,0,0,No,The book wasn't assigned,None,3,3,3,3,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Environmental Science,1040360,3,No,No,Yes,0,"I was too busy to finish	, I wasn’t interested in the topic",No,Yes,0,Yes,10,10,No,The book wasn't assigned,None,4,4,4,2,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Business,1062281,0,Yes,Yes,Yes,0,I lost interest/thought the book was boring,No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Communications,1080182,1,No,No,Yes,0,I lost interest/thought the book was boring,No,Yes,,Yes,10,20,No,The book wasn't assigned,None,4,3,2,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Pre engineering,1076739,0,No,No,Yes,0,I was too busy to finish,No,Yes,0.25,No,,,,,,,,,,,Yes,Warriors,2013,No,,,No,,,,,,,,,,,,,,
Male,Yes,Yes,Bio,1036248,2,Yes,Yes,No,0,I was too busy to finish,No,Yes,0.25,No,0,0,No,The book wasn't assigned,None,,,,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Business,1057978,0,No,No,No,0,I wasn’t interested in the topic,No,Yes,0.5,Yes,0,10,No,Some of the chapters in the book,"Formal Essay for CWS, Response/Reflection paper",1,3,4,4,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Business Marketing,1069709,3,Yes,Yes,No,0,I was too busy to finish,No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,,,,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Physics,966526,20,No,No,No,0,"I lost interest/thought the book was boring, I wasn’t interested in the topic",No,Yes,0.75,No,0,0,No,The book wasn't assigned,None,4,4,5,2,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Bio pre med,1049219,0,Yes,No,Yes,0,"I don’t like reading, I lost interest/thought the book was boring, I wasn’t interested in the topic",No,Yes,0.5,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,international studies,1046678,5,No,No,No,0,,No,Yes,0.75,No,0,0,No,The book wasn't assigned,None,3,3,3,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,No,No,Education,1068396,0,Yes,No,No,0,I lost interest/thought the book was boring,No,Yes,,No,0,0,No,The book wasn't assigned,None,,,,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,Business,1077235,3,No,No,No,0,I was too busy to finish,No,Yes,0.75,Yes,0,0,No,The book wasn't assigned,None,,,,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Per-Vet,1066778,1,Yes,Yes,No,0,I was too busy to finish,No,Yes,0.75,No,0,0,No,The book wasn't assigned,None,3,3,3,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,No,No,ESS,1044333,2,No,No,No,0,"I was too busy to finish	, I lost interest/thought the book was boring, I wasn’t interested in the topic",No,Yes,0,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,Computer Science,1053855,0,Yes,No,No,0,,No,Yes,0.5,No,0,0,No,All of the book,None,3,3,3,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Environmental Science,1064337,1,Yes,Yes,Yes,0,I was too busy to finish,No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,5,5,5,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Bio,1067684,0,No,No,No,0,I wasn’t interested in the topic,No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,5,5,5,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,Physics,1063221,7,Yes,Yes,No,0,I wasn’t interested in the topic,No,Yes,0,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,environmental science,1042872,0,No,No,No,0,,No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Science,1077156,5,No,No,No,0,,No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,3,3,3,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Psychology,1041269,3,No,No,No,0,I was too busy to finish,No,Yes,0.5,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,Science,1062038,3,No,No,Yes,0,,No,Yes,0.5,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Pre-Med Biology,1058440,5,No,No,No,0,,No,Yes,0.75,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,No,No,Peace and Conflicts Studies,1080561,5,No,No,No,0,,No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,Business,927074,2,Yes,Yes,No,0,"I was too busy to finish	, I don’t like reading, I wasn’t interested in the topic",No,Yes,0.75,Yes,0,0,No,The book wasn't assigned,Response/Reflection paper,3,3,3,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Business,1039957,4,No,No,No,0,I was too busy to finish,No,Yes,0.5,Yes,0,10,No,Some of the chapters in the book,"Formal Essay for CWS, Response/Reflection paper",2,3,5,5,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Biology,1044882,0,Yes,No,No,0,"I was too busy to finish	, I didn’t see the point of the assignment, I wasn’t interested in the topic",No,Yes,0.75,No,0,0,No,The book wasn't assigned,None,5,5,5,4,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,No,No,ABE,1036954,2,No,No,No,0,,No,Yes,,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,English,1052718,2,Yes,Yes,No,0,I was too busy to finish,No,Yes,0.5,No,0,1,No,All of the book,Formal Essay for CWS,3,3,5,2,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Finance,1062710,0,No,No,No,0,I wasn’t interested in the topic,No,Yes,0.5,No,0,100,No,All of the book,Formal Essay for CWS,3,3,3,4,,Yes,Warriors,2013,No,No,Yes,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,biology,1066880,12,No,No,No,0,,No,Yes,0.5,No,0,5,No,Some of the chapters in the book,"Formal Essay for CWS, Response/Reflection paper",3,4,2,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Chemistry,1076783,0,Yes,Yes,No,0,"I was too busy to finish	, I lost interest/thought the book was boring",No,Yes,0.25,No,0,5,No,Some of the chapters in the book,Formal Essay for CWS,3,5,4,5,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Male,Yes,Yes,Chemistry,1076760,0,Yes,Yes,No,0,I was too busy to finish,No,Yes,0.25,No,0,100,Yes,Some of the chapters in the book,Formal Essay for CWS,4,4,4,,,Yes,Warriors,2013,No,No,Yes,No,,,,,,,,,,,,,,
Female,Yes,Yes,Biology,1054454,10,No,No,No,0,I wasn’t interested in the topic,No,Yes,0.75,Yes,0,0,No,The book wasn't assigned,None,5,5,5,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,Yes,Yes,Biology,1067434,0,Yes,Yes,No,0,I didn’t see the point of the assignment,No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,3,3,3,3,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Female,No,No,ABE,1076668,8,No,No,No,0,I lost interest/thought the book was boring,No,Yes,0.5,Yes,40,50,Yes,All of the book,Formal Essay for CWS,1,1,5,3,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,All over,1062117,5,Yes,Yes,Yes,0,"I was too busy to finish	, I wasn’t interested in the topic",No,Yes,0.25,No,1,1,Yes,The book wasn't assigned,None,5,4,1,5,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Biology,1053827,1,No,No,No,0,I was too busy to finish,No,Yes,0.75,No,0,90,No,All of the book,Formal Essay for CWS,1,1,3,2,,Yes,Warriors,2013,No,No,Yes,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Communications,1067651,5,No,No,,0,I wasn’t interested in the topic,No,Yes,0.5,No,0,5,No,The book wasn't assigned,None,5,5,5,5,,Yes,Warriors,2013,No,No,No,Yes,,,,,,,,,,,,,,
Female,Yes,Yes,Foreign Languages,1054541,1,No,No,No,0,,No,Yes,0.25,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,Exploratory,1054538,2,Yes,Yes,No,0,I was too busy to finish,No,Yes,0.75,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Male,Yes,Yes,Mathematics,1041411,1,No,No,Yes,0,I lost interest/thought the book was boring,No,Yes,0.5,,,,,,,,,,,,,Warriors,2013,No,,,,,,,,,,,,,,,,,
Female,Yes,Yes,Biology,1046720,5,Yes,Yes,No,0,I wasn’t interested in the topic,No,Yes,0.5,No,0,0,No,The book wasn't assigned,None,3,3,3,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
Male,Yes,Yes,Computer Science/IT,1035745,5,No,No,No,0,"I was too busy to finish	, I wasn’t interested in the topic",No,Yes,,No,0,0,No,The book wasn't assigned,None,,,,,,Yes,Warriors,2013,No,No,No,No,,,,,,,,,,,,,,
